temp,hum,windspeed,yr,mnth,weekday,workingday,season.2,season.3,season.4,weathersit.2,weathersit.3
0.653333,0.833333,0.214546,1,1,1,1,1,0,0,1,0
0.631667,0.504167,0.166667,1,1,0,0,1,0,0,0,0
0.568333,0.777917,0.174746,1,1,1,1,1,0,0,1,0
0.749167,0.4225,0.17165,1,1,1,1,0,1,0,0,0
0.8275,0.457917,0.194029,1,1,1,1,0,1,0,0,0
0.665833,0.844167,0.208967,1,1,1,1,0,1,0,1,0
0.6675,0.7625,0.0939208,1,1,0,0,0,1,0,1,0
0.776667,0.596667,0.284813,1,1,1,1,0,1,0,0,0
0.793333,0.613333,0.257458,1,1,0,0,0,1,0,0,0
0.7525,0.654167,0.129354,1,1,1,1,0,1,0,1,0
0.700833,0.530417,0.122512,1,1,0,0,0,1,0,0,0
0.723333,0.570833,0.231354,1,1,1,1,0,1,0,0,0
0.635833,0.734167,0.129979,1,1,1,1,0,1,0,1,0
0.649167,0.67375,0.0727708,1,1,1,1,0,1,0,0,0
0.6675,0.677083,0.0702833,1,1,1,1,0,1,0,0,0
